canonical_name,display_name,type,module,source_found_in,source_path,status,owner_source_of_truth,beta_mvp_required,current_or_proposed,duplicate_risk,conflict_risk,actual_repo_object,actual_ghl_object,actual_db_model,actual_api_route,future_concept,visual_only_concept,notes
figma_internal_admin_dashboard,Internal Admin Dashboard Design,ui_concept,COC,Figma generated reference README,docs/figma/generated-reference/internal-admin-dashboard/README.md,existing,Figma,maybe,current,low,low,"apps/admin-coc app shell and pages","none","none","none","C.O.C visual reference",yes,"Generated reference is static only."
figma_command_center,Command Center,ui_concept,COC,design brief and generated data,docs/figma/sa360-coc-design-brief.md;docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,existing,Figma,yes,current,low,medium,"apps/admin-coc / page","none","WebhookRequestLog SynthflowRequestLog","GET /admin/v1/coc/summary-metrics","Client alerts/open review items",no,"Partially real; client alert/review panels not backed."
figma_webhook_monitor,Webhook Monitor,ui_concept,COC,design brief and generated pages,docs/figma/sa360-coc-design-brief.md;docs/figma/generated-reference/internal-admin-dashboard/src/app/components/pages/WebhookMonitor.tsx,existing,Figma,yes,current,low,low,"apps/admin-coc /webhooks","GHL lifecycle webhook source","WebhookRequestLog LifecycleEvent","GET /admin/v1/coc/webhook-requests","Replay/copy actions if added",no,"Real API backing exists."
figma_synthflow_monitor,Synthflow Monitor,ui_concept,Voice,design brief and generated pages,docs/figma/sa360-coc-design-brief.md;docs/figma/generated-reference/internal-admin-dashboard/src/app/components/pages/SynthflowMonitor.tsx,existing,Figma,yes,current,low,low,"apps/admin-coc /synthflow","Synthflow voice webhooks","SynthflowRequestLog SynthflowOutboundResultLog InboundContactIndex","GET /admin/v1/coc/synthflow-requests; GET /admin/v1/coc/synthflow-outbound-results","More per-call diagnostics",no,"Real API backing exists."
figma_review_queue,Review Queue,ui_concept,Admin,design brief generated data admin page,docs/figma/sa360-coc-design-brief.md;docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts;apps/admin-coc/src/app/(dashboard)/review/page.tsx,proposed,Figma,maybe,proposed,medium,medium,"apps/admin-coc /review stub","none","future ReviewItem; existing logs/attempts","none","ReviewItem records and API",no,"Visual/product concept only today."
figma_event_timeline,Event Timeline,ui_concept,Admin,design brief generated data admin page,docs/figma/sa360-coc-design-brief.md;docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts;apps/admin-coc/src/app/(dashboard)/timeline/page.tsx,proposed,Figma,maybe,proposed,medium,medium,"apps/admin-coc /timeline stub","none","LifecycleEvent LeadAttribution MetaDispatchAttempt Synthflow logs","none","Per-contact timeline API",no,"Mock timeline event types should map to real models before build."
figma_clients_subaccounts,Clients & Subaccounts,ui_concept,Admin,design brief generated data clients page,docs/figma/sa360-coc-design-brief.md;docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts;apps/admin-coc/src/app/(dashboard)/clients/page.tsx,proposed,Figma,maybe,proposed,medium,medium,"apps/admin-coc /clients stub","GHL locations/subaccounts","ClientConfig future SubaccountLink","none","Client admin API",no,"Figma mock has ghlLocationId and flags not all repo-backed."
figma_client_detail,Client Detail,ui_concept,Admin,design brief admin page,docs/figma/sa360-coc-design-brief.md;apps/admin-coc/src/app/(dashboard)/clients/detail/page.tsx,proposed,Figma,maybe,proposed,medium,medium,"apps/admin-coc /clients/detail stub","GHL location/account","ClientConfig","none","Dynamic client detail route/API",no,"No backend support yet."
figma_feature_flags,Feature Flags,ui_concept,Launch,generated client flags admin flags page,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts;apps/admin-coc/src/app/(dashboard)/flags/page.tsx,proposed,Figma,maybe,proposed,high,medium,"apps/admin-coc /flags static page","none","ClientConfig.metaSyncEnabled only","none","DB FeatureFlag/per-client flag admin","no","VOICE/BLUE/GREEN/CLOSEBOT mostly roadmap flags; not GHL tags."
figma_settings_env,Settings & Env,ui_concept,Admin,design brief settings page,docs/figma/sa360-coc-design-brief.md;apps/admin-coc/src/app/(dashboard)/settings/page.tsx,existing,Figma,yes,current,low,low,"apps/admin-coc /settings","none","none","GET /health references only","Live health checks maybe",no,"Operational configuration display."
figma_capi_dispatch,CAPI Dispatch,ui_concept,Meta,generated webhook mock data,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,needs_review,Figma,maybe,proposed,medium,medium,"worker meta dispatch processor","Meta CAPI event","MetaDispatchAttempt LifecycleEvent","none direct; worker queue","CAPI dispatch UI rows",no,"Should map to worker stages and attempts, not new event name."
figma_inbound_lookup,Inbound Lookup,ui_concept,Voice,generated webhook mock data,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,needs_review,Figma,yes,current,medium,medium,"POST /voice/synthflow/inbound-lookup","Synthflow call payload","SynthflowRequestLog InboundContactIndex","POST /voice/synthflow/inbound-lookup; GET /admin/v1/coc/synthflow-requests","none",no,"Use repo naming synthflow_inbound_lookup/route path."
figma_review_item,Review Item,ui_concept,Admin,generated review data and admin page text,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts;apps/admin-coc/src/app/(dashboard)/review/page.tsx,proposed,Figma,maybe,proposed,medium,medium,"Review page stub only","none","none","none","ReviewItem Prisma model/API",no,"Do not create GHL tags/fields as substitute."
figma_client_flags,Client Flags,feature_flag,Launch,generated client data,docs/figma/generated-reference/internal-admin-dashboard/src/app/components/data.ts,proposed,Figma,maybe,proposed,high,medium,"static mock flags voice blue green closeBot ghlAi metaSync","none","ClientConfig has metaSyncEnabled only","none","FeatureFlag model or ClientConfig expansion",no,"Roadmap only until registry review."
figma_status_chips,Status Chips,ui_concept,COC,design brief primitives,docs/figma/sa360-coc-design-brief.md;docs/figma/generated-reference/internal-admin-dashboard/src/app/components/primitives.tsx,existing,Figma,yes,current,low,low,"badge utilities/status mappings","none","request log statuses","admin list routes","Expanded status vocabulary",yes,"Visual mapping only; does not create fields/tags."
